Px 	Py 	Vx 	Vy 	Px_rmse 	Py_rmse 	Vx_rmse 	Vy_rmse 	NIS 	Yaw 	Yaw Rate 	SensorType
15.8886	19.7562	-4.18608	2.33613	0.0507105	0.0982205	0.575618	0.330837	10.0966	2.63257	0.570678	0
15.7004	19.8826	-4.15346	2.337	0.0505359	0.0983502	0.573616	0.329672	3.18242	2.62908	0.486512	1
15.47	20.0369	-4.24681	2.30084	0.0504045	0.0982017	0.571616	0.328609	3.18242	2.64508	0.47427	0
15.2576	20.1792	-4.29145	2.26957	0.0502635	0.097915	0.569645	0.327795	5.5694	2.65513	0.450164	1
15.07	20.3122	-4.29888	2.22155	0.0500951	0.0975791	0.56774	0.32729	5.5694	2.66462	0.435447	0
14.8391	20.3929	-4.38983	2.03301	0.0499233	0.0972635	0.565817	0.326479	2.28446	2.70788	0.479634	1
14.6237	20.5127	-4.43182	1.96721	0.0497571	0.0969335	0.563921	0.325893	2.28446	2.72384	0.469975	0
14.3868	20.5986	-4.5268	1.78659	0.0495893	0.0966078	0.562017	0.325065	1.31553	2.76569	0.517093	1
14.14	20.6719	-4.59926	1.63788	0.049453	0.0962835	0.560128	0.324158	1.31553	2.79948	0.525938	0
13.9034	20.7429	-4.66624	1.46202	0.0493372	0.0959621	0.558263	0.323138	0.290795	2.83796	0.557991	1
13.6285	20.8051	-4.76496	1.3029	0.0494946	0.095644	0.556461	0.322083	0.290795	2.87468	0.566726	0
13.3818	20.8348	-4.83745	1.01705	0.0497712	0.0953648	0.554727	0.321181	1.92573	2.93437	0.642944	1
13.1347	20.8731	-4.87179	0.842743	0.0501678	0.0951319	0.553015	0.320449	1.92573	2.9703	0.647368	0
12.9044	20.9332	-4.87321	0.760018	0.0504735	0.0948665	0.551283	0.319599	1.91688	2.98688	0.616338	1
12.7038	20.9749	-4.83294	0.635191	0.0504508	0.094604	0.549512	0.318766	1.91688	3.01091	0.610983	0
12.4523	21.0166	-4.86799	0.514911	0.0505048	0.0943307	0.547765	0.317935	2.58003	3.03621	0.602325	1
12.2045	21.0529	-4.89235	0.395207	0.05061	0.0940481	0.546039	0.317106	2.58003	3.06099	0.59526	0
11.9673	21.0729	-4.89571	0.246611	0.0506772	0.0937741	0.544322	0.316364	0.897127	3.09126	0.601337	1
11.7244	21.0412	-4.88205	0.0197028	0.0507451	0.0936717	0.54261	0.316079	0.897127	3.13756	0.621869	0
11.4789	21.0281	-4.87597	-0.14287	0.05083	0.093714	0.540912	0.31603	1.04929	3.17089	0.620331	1
11.2623	21.0205	-4.83099	-0.283976	0.0507508	0.0938463	0.539241	0.316106	1.04929	3.20031	0.620201	0
11.0098	20.9819	-4.82561	-0.468906	0.0507153	0.094304	0.537591	0.316633	4.07091	3.23846	0.625271	1
10.7993	20.9425	-4.75736	-0.640688	0.0505671	0.0951049	0.536027	0.317571	4.07091	3.27546	0.634634	0
10.5487	20.9458	-4.75654	-0.603626	0.050432	0.0957099	0.534475	0.317396	5.76742	3.26782	0.539573	1
10.265	20.9781	-4.83873	-0.597517	0.0504809	0.0958474	0.532859	0.316687	5.76742	3.26446	0.497796	0
10.025	20.9598	-4.82642	-0.685594	0.0505059	0.0959381	0.531261	0.315901	0.993915	3.2827	0.488532	1
9.83237	20.9214	-4.73433	-0.808415	0.0503555	0.0960831	0.529751	0.315137	0.993915	3.31072	0.495667	0
9.59367	20.9162	-4.72343	-0.752073	0.0502055	0.0960294	0.528252	0.314208	1.79298	3.29949	0.412119	1
9.40249	20.8656	-4.63402	-0.874668	0.0502037	0.0960236	0.526896	0.313283	1.79298	3.32815	0.424169	0
9.18065	20.8225	-4.60336	-0.992891	0.0503339	0.0959911	0.525581	0.312365	1.55059	3.35403	0.440502	1
8.88685	20.7949	-4.69218	-1.0395	0.0501995	0.0958368	0.524094	0.31152	1.55059	3.35961	0.417596	0
8.67255	20.713	-4.62579	-1.22629	0.0501434	0.0957897	0.522678	0.310615	4.63924	3.40073	0.455805	1
8.39674	20.6306	-4.65894	-1.36441	0.0499984	0.0958466	0.521203	0.309718	4.63924	3.42648	0.457696	0
8.16777	20.5491	-4.61526	-1.52231	0.0498586	0.0959785	0.519757	0.308869	0.185206	3.4602	0.482758	1
7.92607	20.4697	-4.59628	-1.63369	0.0497161	0.0961374	0.518312	0.308032	0.185206	3.4831	0.48072	0
7.71095	20.3815	-4.52752	-1.81758	0.0495972	0.0963485	0.516924	0.307363	3.55863	3.52335	0.526337	1
7.40054	20.3254	-4.64335	-1.85025	0.0496544	0.0963594	0.515465	0.306551	3.55863	3.52078	0.486479	0
7.16747	20.2291	-4.60128	-1.95196	0.0497316	0.0964009	0.514017	0.305744	0.213958	3.5428	0.47868	1
6.90285	20.1469	-4.62534	-2.01872	0.0501343	0.0963635	0.512612	0.304907	0.213958	3.55312	0.460117	0
6.67575	20.0559	-4.58305	-2.08096	0.0505381	0.0962772	0.511216	0.304059	0.447239	3.56781	0.442592	1
6.42841	19.9649	-4.57895	-2.14722	0.0512099	0.0961296	0.509869	0.303223	0.447239	3.58008	0.42955	0
6.2105	19.8711	-4.52365	-2.22417	0.0518106	0.0959289	0.508518	0.302405	2.83491	3.59856	0.429227	1
5.94766	19.7783	-4.55395	-2.27105	0.0530147	0.0956835	0.507285	0.301649	2.83491	3.6042	0.408152	0
5.72042	19.6301	-4.473	-2.50218	0.0543341	0.0955012	0.506003	0.300851	1.99013	3.65162	0.469897	1
5.54725	19.5048	-4.32724	-2.61274	0.0549915	0.0953222	0.504641	0.300082	1.99013	3.68479	0.483817	0
5.34744	19.3548	-4.22184	-2.76162	0.055477	0.0952188	0.503285	0.29943	1.74886	3.72086	0.503121	1
5.13446	19.2526	-4.18479	-2.79613	0.0559764	0.0950142	0.501938	0.298686	1.74886	3.73063	0.483934	0
4.94113	19.1423	-4.12505	-2.7797	0.0563117	0.0947672	0.500603	0.297894	4.72147	3.73456	0.436141	1
4.78188	18.9893	-3.97081	-2.90211	0.0563018	0.0945347	0.499358	0.297108	4.72147	3.77273	0.459084	0
4.57452	18.8385	-3.91222	-3.03189	0.0563133	0.0943113	0.498132	0.296367	1.4444	3.80089	0.478237	1
